[11/7/2023, 11:03:07 AM] | Method: GET | URL: /books?new=1 | Time Taken: 22ms
[11/7/2023, 11:03:08 AM] | Method: GET | URL: /books?new=1 | Time Taken: 1ms
[11/7/2023, 11:03:41 AM] | Method: POST | URL: /login | Time Taken: 233ms
[11/7/2023, 11:03:48 AM] | Method: POST | URL: /register | Time Taken: 114ms
[11/7/2023, 11:30:15 AM] | Method: GET | URL: / | Time Taken: 119ms
[11/7/2023, 11:30:15 AM] | Method: GET | URL: / | Time Taken: 4ms
[11/7/2023, 11:30:15 AM] | Method: GET | URL: /swagger-ui-init.js | Time Taken: 1ms
[11/7/2023, 11:30:15 AM] | Method: GET | URL: /swagger-ui-bundle.js | Time Taken: 17ms
[11/7/2023, 11:30:15 AM] | Method: GET | URL: /swagger-ui.css | Time Taken: 26ms
[11/7/2023, 11:30:15 AM] | Method: GET | URL: /swagger-ui-standalone-preset.js | Time Taken: 76ms
[11/7/2023, 11:30:16 AM] | Method: GET | URL: /favicon-32x32.png | Time Taken: 12ms
[11/7/2023, 11:32:05 AM] | Method: GET | URL: / | Time Taken: 1ms
[11/7/2023, 11:32:05 AM] | Method: GET | URL: /swagger-ui.css | Time Taken: 1ms
[11/7/2023, 11:32:05 AM] | Method: GET | URL: /swagger-ui-init.js | Time Taken: 0ms
[11/7/2023, 11:32:05 AM] | Method: GET | URL: /swagger-ui-standalone-preset.js | Time Taken: 2ms
[11/7/2023, 11:32:05 AM] | Method: GET | URL: /swagger-ui-bundle.js | Time Taken: 3ms
[11/7/2023, 11:32:05 AM] | Method: GET | URL: /favicon-32x32.png | Time Taken: 1ms
[11/7/2023, 11:32:07 AM] | Method: GET | URL: / | Time Taken: 2ms
[11/7/2023, 11:32:07 AM] | Method: GET | URL: /swagger-ui-init.js | Time Taken: 0ms
[11/7/2023, 11:32:07 AM] | Method: GET | URL: /swagger-ui.css | Time Taken: 3ms
[11/7/2023, 11:32:07 AM] | Method: GET | URL: /swagger-ui-bundle.js | Time Taken: 4ms
[11/7/2023, 11:32:07 AM] | Method: GET | URL: /swagger-ui-standalone-preset.js | Time Taken: 5ms
[11/7/2023, 11:32:07 AM] | Method: GET | URL: /favicon-32x32.png | Time Taken: 1ms
[11/7/2023, 11:32:08 AM] | Method: GET | URL: / | Time Taken: 2ms
[11/7/2023, 11:32:08 AM] | Method: GET | URL: /swagger-ui-init.js | Time Taken: 0ms
[11/7/2023, 11:32:08 AM] | Method: GET | URL: /swagger-ui-bundle.js | Time Taken: 3ms
[11/7/2023, 11:32:08 AM] | Method: GET | URL: /swagger-ui.css | Time Taken: 3ms
[11/7/2023, 11:32:08 AM] | Method: GET | URL: /swagger-ui-standalone-preset.js | Time Taken: 2ms
[11/7/2023, 11:32:08 AM] | Method: GET | URL: /favicon-32x32.png | Time Taken: 1ms
[11/7/2023, 11:34:43 AM] | Method: GET | URL: / | Time Taken: 21ms
[11/7/2023, 11:34:43 AM] | Method: GET | URL: /swagger-ui.css | Time Taken: 4ms
[11/7/2023, 11:34:43 AM] | Method: GET | URL: /swagger-ui-bundle.js | Time Taken: 3ms
[11/7/2023, 11:34:43 AM] | Method: GET | URL: /swagger-ui-init.js | Time Taken: 1ms
[11/7/2023, 11:34:43 AM] | Method: GET | URL: /swagger-ui-standalone-preset.js | Time Taken: 3ms
[11/7/2023, 11:34:43 AM] | Method: GET | URL: /favicon-32x32.png | Time Taken: 2ms
[11/7/2023, 11:34:45 AM] | Method: GET | URL: / | Time Taken: 1ms
[11/7/2023, 11:34:45 AM] | Method: GET | URL: /swagger-ui-init.js | Time Taken: 1ms
[11/7/2023, 11:34:45 AM] | Method: GET | URL: /swagger-ui-bundle.js | Time Taken: 3ms
